date,cash,positions_value,equity,held
2024-07-18,944717.42,55266.0,999983.42,SPY:100
2024-07-19,944717.42,54899.0,999616.42,SPY:100
2024-07-22,944717.42,55465.0,1000182.42,SPY:100
2024-07-23,1000078.81,0,1000078.81,flat
2024-07-24,1000078.81,0,1000078.81,flat
2024-07-25,889149.54,110896.0,1000045.54,NVDA:100 QQQ:100 SPY:100
2024-07-26,889149.54,112047.0,1001196.54,NVDA:100 QQQ:100 SPY:100
2024-07-29,943609.2,57549.0,1001158.2,NVDA:100 QQQ:100
2024-07-30,943609.2,56126.0,999735.2,NVDA:100 QQQ:100
2024-07-31,943609.2,58809.0,1002418.2,NVDA:100 QQQ:100
2024-08-01,943609.2,56887.0,1000496.2,NVDA:100 QQQ:100
2024-08-02,898720.73,100477.0,999197.73,NVDA:100 QQQ:200
2024-08-05,888672.72,107164.0,995836.72,NVDA:200 QQQ:200
2024-08-06,888672.72,108756.0,997428.72,NVDA:200 QQQ:200
2024-08-07,898560.75,96845.0,995405.75,NVDA:100 QQQ:200
2024-08-08,943354.31,55304.0,998658.31,NVDA:100 QQQ:100
2024-08-09,943354.31,55516.0,998870.31,NVDA:100 QQQ:100
2024-08-12,943354.31,56040.0,999394.31,NVDA:100 QQQ:100
2024-08-13,943354.31,57872.0,1001226.31,NVDA:100 QQQ:100
2024-08-14,943354.31,58081.0,1001435.31,NVDA:100 QQQ:100
2024-08-15,943354.31,59728.0,1003082.31,NVDA:100 QQQ:100
2024-08-16,943354.31,59961.0,1003315.31,NVDA:100 QQQ:100
2024-08-19,943354.31,61127.0,1004481.31,NVDA:100 QQQ:100
2024-08-20,943354.31,60751.0,1004105.31,NVDA:100 QQQ:100
2024-08-21,943354.31,61100.0,1004454.31,NVDA:100 QQQ:100
2024-08-22,943354.31,59859.0,1003213.31,NVDA:100 QQQ:100
2024-08-23,943354.31,60937.0,1004291.31,NVDA:100 QQQ:100
2024-08-26,943354.31,60180.0,1003534.31,NVDA:100 QQQ:100
