alpha_id,asset,passed,fail_reason,is_final_candidate_alpha,rank,score,coverage,train_blocks,train_ic,train_rank_ic,train_icir,train_sharpe,val_ic,val_return,oos_ic,oos_rank_ic,oos_icir,oos_sharpe,oos_return,oos_max_dd,oos_turnover_per_bar,oos_trade_count,oos_blocks,wf_positive,wf_total,wf_frac,stability_frac,one_way_bps,slippage_bps,check_dataset_gate,check_factor_computable,check_train_ic,check_train_rank_ic,check_train_icir,check_train_performance,check_validation_performance,check_oos_performance,check_max_drawdown,check_turnover_cap,check_walk_forward,check_stability,check_no_lookahead,check_oos_isolated,check_transaction_cost,check_slippage
Alpha001,EURUSD,True,,False,21,0.9358,0.99,76.0,-0.2709,-0.2629,-3.22,9.31,-0.2682,0.5473,-0.2476,-0.2426,-2.8245,9.5489,1.087424,-0.010155,0.212803,666,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha004,AU,True,,True,47,0.8571,0.97,40.0,-0.1623,-0.1659,-1.742,3.32,-0.1845,0.4637,-0.1892,-0.184,-2.2523,5.3305,1.228521,-0.03596,0.199234,338,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha004,EURUSD,True,,True,14,0.9595,0.99,76.0,-0.4134,-0.4075,-5.989,23.32,-0.3985,2.8215,-0.4142,-0.4034,-5.5652,24.5389,14.114997,-0.007139,0.151022,473,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha004,QQQ,True,,True,132,0.295,0.95,21.0,-0.0566,-0.0618,-0.666,2.24,-0.0927,0.2348,-0.0503,-0.0584,-0.5577,0.8541,0.128071,-0.087012,0.249589,228,15,5,6,0.83,0.75,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha004,SPY,True,,True,123,0.3291,0.95,21.0,-0.0817,-0.0825,-0.641,1.82,-0.0559,0.057,-0.0883,-0.0878,-0.6544,2.2614,0.35011,-0.075129,0.233716,214,15,4,6,0.67,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha004,XAUUSD,True,,True,66,0.6438,0.99,76.0,-0.1418,-0.142,-1.557,4.79,-0.1765,1.2196,-0.1279,-0.1276,-1.32,3.6486,1.152683,-0.061958,0.226373,709,52,6,6,1.0,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha005,AU,True,,True,58,0.722,0.98,40.0,-0.149,-0.1689,-1.352,2.33,-0.1563,0.244,-0.1611,-0.1811,-1.8959,3.6335,0.603233,-0.056616,0.189803,322,29,5,6,0.83,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha005,EURUSD,True,,True,10,0.9665,0.99,76.0,-0.3811,-0.4205,-5.949,17.3,-0.3774,1.8688999999999998,-0.3769,-0.4141,-5.2473,18.9488,6.544063,-0.008149,0.156609,490,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha005,QQQ,True,,True,127,0.3053,0.95,21.0,-0.0644,-0.0765,-0.647,1.25,-0.0594,0.1121,-0.0584,-0.0666,-0.5827,1.0925,0.132991,-0.065727,0.196497,180,15,5,6,0.83,0.75,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha005,SPY,True,,True,124,0.324,0.95,21.0,-0.0875,-0.0917,-0.874,2.25,-0.091,0.1307,-0.0694,-0.0777,-0.4809,0.9175,0.108514,-0.095949,0.215107,196,15,4,6,0.67,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha005,XAUUSD,True,,True,73,0.6061,0.99,76.0,-0.1246,-0.1439,-1.171,2.74,-0.1511,0.565,-0.1277,-0.1369,-1.103,3.2813,0.816926,-0.064906,0.203544,638,52,6,6,1.0,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha008,AU,True,,True,39,0.8988,0.98,40.0,-0.1879,-0.1874,-1.777,4.9,-0.2005,0.49520000000000003,-0.1926,-0.192,-2.3878,6.1034,1.261944,-0.028547,0.164456,279,29,6,6,1.0,1.0,6.0,3.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha008,EURUSD,True,,True,6,0.9727,0.99,76.0,-0.4326,-0.4359,-6.938,23.26,-0.4245,2.5431,-0.4399,-0.4402,-5.8224,26.6595,13.136682,-0.004593,0.117018,366,52,6,6,1.0,1.0,1.5,0.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha008,QQQ,True,,True,111,0.413,0.95,21.0,-0.064,-0.065,-0.718,1.73,-0.0667,0.19519999999999998,-0.0794,-0.0785,-0.6803,1.879,0.317696,-0.126312,0.188287,172,15,4,6,0.67,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha008,SPY,True,,True,76,0.5999,0.95,21.0,-0.1138,-0.1115,-1.063,2.39,-0.0898,0.1506,-0.1339,-0.1342,-1.2819,4.1365,0.625152,-0.051792,0.176793,162,15,5,6,0.83,1.0,3.0,2.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alpha008,XAUUSD,True,,True,54,0.7743,0.99,76.0,-0.149,-0.1508,-1.427,5.3,-0.1935,1.2823,-0.1573,-0.1498,-1.4925,6.0876,2.416041,-0.048059,0.174808,548,52,6,6,1.0,1.0,6.0,2.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
